title,authors,publishedDate,categories,averageRating,ratingsCount,description,pageCount,language,previewLink,query
For Elise,['Sarah M. Eden'],2008-11-07,,,,"They were inseparable in their youth, the very best of friends, two halves of a whole. For four years, Miles Linwood, the Marquess of Grenton, has felt incomplete without her.When a carriage breakdown leaves him temporarily stranded in a tiny town, Miles makes an unexpected discovery that will alter the course of his life, and rewrite the pages of his past.",236.0,en,http://books.google.co.in/books?id=pwqeQQAACAAJ&dq=romance&hl=&cd=209&source=gbs_api,romance
"Metrical Romances of the Thirteenth, Fourteenth, and Fifteenth Centuries",['Henry Weber'],1810,['English poetry'],,,,482.0,en,http://books.google.co.in/books?id=vyVeAAAAcAAJ&pg=PA348&dq=romance&hl=&cd=210&source=gbs_api,romance
Blix,['Frank Norris'],1899,['Adventure stories'],,,,398.0,en,http://books.google.co.in/books?id=1p6wAAAAIAAJ&pg=PA341&dq=romance&hl=&cd=211&source=gbs_api,romance
The Reunion,['Meghan Quinn'],2022-02-22,['Fiction'],,,"From the USA Today bestselling author of The Wedding Game comes a new romantic comedy about the antics that ensue when three siblings come together for their parents' fiftieth-anniversary party. Martin and Peggy Chance believe love should last a lifetime. With their fiftieth wedding anniversary on the horizon, they've modeled a beautiful relationship for their three grown children. But to their dismay, that lesson hasn't quite caught on--the three siblings just can't seem to take a chance and find love in their own lives. There's Ford, the eldest, devoted to his work and resistant to romance...or so he claims. Cooper, the middle child, can't get past his divorce--until he reconnects with a feisty baker from his past. And Palmer, the baby of the family, is the free-spirited world traveler who always pictured herself with someone other than a handsome small-town family doctor. When the Chance siblings come together to plan the ultimate anniversary party for their parents, they'll have to navigate romantic entanglements, sibling rivalries, and the definitive end of their childhood. Whatever happens, The Reunion promises to be a fun, flirty, wild ride.",430.0,en,http://books.google.co.in/books?id=o0GOzgEACAAJ&dq=romance&hl=&cd=212&source=gbs_api,romance
Modern Language Teaching,,1907,"['Languages, Modern']",,,,286.0,en,http://books.google.co.in/books?id=8XEvAQAAMAAJ&pg=PA231&dq=romance&hl=&cd=213&source=gbs_api,romance
Expectation,['Anna Hope'],2020-04-14,['Fiction'],,,"“A Sally Rooney-esque, evocative examination of the nature of female friendship” —i Magazine In this sharply observed novel set in and around London, three college friends, now in their thirties, must come to terms with the gap between the lives they imagined for themselves and reality. In her first year of motherhood, Cate is constantly exhausted, spiraling into self-doubt and postpartum anxiety. Her husband Sam seems oblivious, but maybe she’d prefer he remain in the dark. How can she admit the unthinkable—that she misses her freedom? In contrast, Hannah continues to endure round after round of unsuccessful IVF treatments. The process is taking its toll on her physically and emotionally—and, she worries, creating distance between her and her husband Nathan. She is godmother to Cate’s son, but every time they get together, it’s a trigger. Beautiful and single, Lissa is re-evaluating what it means to be an actress in her thirties. While she fiercely resists convention, she’s also lonely. A chance encounter with Nathan has her wondering if she missed her best chance at love when she introduced him to Hannah. As each woman longs for what the others seemingly possess, will their bonds of friendship sustain them—or will envy and desire tear them apart? “An outstanding novel.” —Mary Beth Keane, New York Times–bestselling author of Ask Again, Yes “Tender and smart, beautiful and melancholy.” —Polly Rosenwaike, author of Look How Happy I’m Making You “Hope has a bead on what her readers want—and she delivers.” —Publishers Weekly “Devastatingly perceptive and emotionally wise.” —The Guardian",335.0,en,http://books.google.co.in/books?id=gt-SDwAAQBAJ&printsec=frontcover&dq=romance&hl=&cd=214&source=gbs_api,romance
The Garden Intrigue,['Lauren Willig'],2012,['Americans'],,,"Secret agent Augustus Whittlesby has spent a decade undercover in France, posing as a terrible poet. The French spies can't bear to read his work closely enough to recognise the information drowned in a sea of verbiage. Emma Delagardie is a thorn in Augustus' side. An old school friend of Napoleon's stepdaughter, she came to France, eloped with a Frenchman and rattles around the salons of Paris. Now widowed, she holds a weekly salon where she critiques Augustus' poems. But when he hears of a secret invasion plan at Emma's party Augustus must try and get closer to her...",0.0,en,http://books.google.co.in/books?id=fRzanQEACAAJ&dq=romance&hl=&cd=216&source=gbs_api,romance
Her Night with the Duke,['Diana Quincy'],2020-09-29,['Fiction'],,,"Desire knows no reason... When Lady Delilah Chambers finds herself stranded at a country inn on a rain-swept evening, she’s forced to fend off a group of ruffians with the help of a handsome gentleman. Irresistibly drawn to each other, Leela and the stranger spend one reckless night in each others’ arms—and then go their separate ways. But the very next day Leela receives the shock of her life when she meets the duke who is set on wedding her beloved stepdaughter. When it finds two destined hearts... One night isn’t enough with a woman as fierce, fiery, and brilliant as Leela. Elliot Townsend, Duke of Huntington, cannot believe his good fortune when their chance encounter leads to an unforgettable evening of passion. Yet Hunt’s luck runs out when he is introduced to his prospective mother-in-law. Dowagers aren’t supposed to look like this... Leela and Hunt are determined to keep each other at arm’s length, which should be easy enough for two intelligent adults with reputations to uphold. The problem is all logic is lost when it comes to a passion that refuses to be ignored.",304.0,en,http://books.google.co.in/books?id=GlzHDwAAQBAJ&pg=PP1&dq=romance&hl=&cd=217&source=gbs_api,romance
It Happens For A Reason,['Preeti Shenoy'],2023-07-01,['Fiction'],,,"My heart hummed a happy tune as I got into the car with Ankush and directed him towards Suchi's home. Of course, I had no idea about the strange games that the gods were playing that day. Sometimes things happen for a reason, though they are not obvious at that moment, and there is nothing you can do to control them. When Vipasha--Vee to friends--eighteen and single, makes the decision to have her baby, she does more than give up her promising modelling career. She ends up cutting ties with her family, and with Ankush, the man she thought she was in love with. Fast-forward sixteen years and she now has two unusual careers: she runs a dog-boarding facility and is a gym instructor. Her son, Aryan, thinks she is the coolest mom in the world and hopes she will one day find her Prince Charming--exactly what her best friend Suchi has in mind for her. But Vee secretly has a thing for Saurabh, the quirky vet. Then, out of the blue, Ankush comes back into their lives. But can a decision that was taken at eighteen--more in the throes of lust than love--be the basis of a life-long relationship? Is there a future for Ankush and Vee? Vee, Aryan and Ankush are in for the ride of their lives. No seat belts, full speed and a very bumpy road ahead. It Happens for a Reason is an enthralling story-about love, strong friendships and unusual choices made along paths never travelled before.",231.0,en,http://books.google.co.in/books?id=sDjEEAAAQBAJ&printsec=frontcover&dq=romance&hl=&cd=218&source=gbs_api,romance
Wish I Could Tell You,['Durjoy Datta'],2019,"['Romance fiction, Indic (English)']",,,,246.0,en,http://books.google.co.in/books?id=bS9BzQEACAAJ&dq=romance&hl=&cd=219&source=gbs_api,romance
The Ex Hex,['Erin Sterling'],2021-09-28,['Fiction'],,,"New York Times Bestseller Erin Sterling casts a delightful spell with a spine-tingling romance full of wishes, witches, and hexes gone wrong. “A delightful and witty take on witchy mayhem.” — Popsugar Nine years ago, Vivienne Jones nursed her broken heart like any young witch would: vodka, weepy music, bubble baths…and a curse on the horrible boyfriend. Sure, Vivi knows she shouldn’t use her magic this way, but with only an “orchard hayride” scented candle on hand, she isn’t worried it will cause him anything more than a bad hair day or two. That is until Rhys Penhallow, descendent of the town’s ancestors, breaker of hearts, and annoyingly just as gorgeous as he always was, returns to Graves Glen, Georgia. What should be a quick trip to recharge the town’s ley lines and make an appearance at the annual fall festival turns disastrously wrong. With one calamity after another striking Rhys, Vivi realizes her silly little Ex Hex may not have been so harmless after all. Suddenly, Graves Glen is under attack from murderous wind-up toys, a pissed off ghost, and a talking cat with some interesting things to say. Vivi and Rhys have to ignore their off the charts chemistry to work together to save the town and find a way to break the break-up curse before it’s too late.",247.0,en,http://books.google.co.in/books?id=J-sREAAAQBAJ&printsec=frontcover&dq=romance&hl=&cd=220&source=gbs_api,romance
Publisher and Bookseller,,1873,['Bibliography'],,,"Vols. for 1871-76, 1913-14 include an extra number, The Christmas bookseller, separately paged and not included in the consecutive numbering of the regular series.",1432.0,en,http://books.google.co.in/books?id=CN8iAQAAMAAJ&pg=PA1101&dq=romance&hl=&cd=221&source=gbs_api,romance
The Hating Game,['Sally Thorne'],2016-08-09,['Fiction'],4.5,5.0,"Now a movie starring Lucy Hale and Austin Stowell, USA Today bestselling author Sally Thorne’s hilarious and sexy workplace comedy all about that thin, fine line between hate and love. Nemesis (n.) 1) An opponent or rival whom a person cannot best or overcome. 2) A person’s undoing 3) Joshua Templeman Lucy Hutton and Joshua Templeman hate each other. Not dislike. Not begrudgingly tolerate. Hate. And they have no problem displaying their feelings through a series of ritualistic passive aggressive maneuvers as they sit across from each other, executive assistants to co-CEOs of a publishing company. Lucy can’t understand Joshua’s joyless, uptight, meticulous approach to his job. Joshua is clearly baffled by Lucy’s overly bright clothes, quirkiness, and Pollyanna attitude. Now up for the same promotion, their battle of wills has come to a head and Lucy refuses to back down when their latest game could cost her her dream job…But the tension between Lucy and Joshua has also reached its boiling point, and Lucy is discovering that maybe she doesn’t hate Joshua. And maybe, he doesn’t hate her either. Or maybe this is just another game.",389.0,en,http://books.google.co.in/books?id=5a3rCgAAQBAJ&printsec=frontcover&dq=romance&hl=&cd=222&source=gbs_api,romance
Characteristics of English Poets from Chaucer to Shirley,['William Minto'],1885,['English poetry'],,,,402.0,en,http://books.google.co.in/books?id=zCFCcQZLm8YC&pg=PA64&dq=romance&hl=&cd=224&source=gbs_api,romance
A.L.A. Booklist,,1905,['Best books'],,,,350.0,en,http://books.google.co.in/books?id=UTkzAQAAMAAJ&pg=PR33&dq=romance&hl=&cd=225&source=gbs_api,romance
Book-prices current,,1890,['Books'],,,,570.0,en,http://books.google.co.in/books?id=lqsX6-I5r7oC&pg=PA156&dq=romance&hl=&cd=226&source=gbs_api,romance
Monthly Bulletin,['Carnegie Library of Pittsburgh'],1905,['Libraries'],,,,998.0,en,http://books.google.co.in/books?id=7_Y_AQAAMAAJ&pg=RA1-PA487&dq=romance&hl=&cd=227&source=gbs_api,romance
The Black and Blue Jay,,1891,['Universities and colleges'],,,,540.0,en,http://books.google.co.in/books?id=w-ETAAAAIAAJ&pg=RA2-PA92&dq=romance&hl=&cd=228&source=gbs_api,romance
A Nest of Linnets,['Frank Frankfort Moore'],1901,['English fiction'],,,,464.0,en,http://books.google.co.in/books?id=nsQkAAAAMAAJ&pg=PT4&dq=romance&hl=&cd=229&source=gbs_api,romance
Monthly Bulletin of the Carnegie Library of Pittsburgh,['Carnegie Library of Pittsburgh'],1906,,,,,664.0,en,http://books.google.co.in/books?id=Z-9FAQAAMAAJ&pg=PA487&dq=romance&hl=&cd=230&source=gbs_api,romance
Love Rosie (Where Rainbows End),['Cecelia Ahern'],2009-01-19,['Fiction'],4.5,7.0,Published as Where Rainbows End - now filmed as Love Rosie. A story about love. And how life can get in the way...,30.0,en,http://books.google.co.in/books?id=v104HvtzhXYC&pg=PA559&dq=romance&hl=&cd=231&source=gbs_api,romance
"Feels Like Family (A Sweet Magnolias Novel, Book 3)",['Sherryl Woods'],2009-03-01,['Fiction'],,,Out Now on Netflix Life can be full of surprises...,370.0,en,http://books.google.co.in/books?id=jFHwrAtLAVkC&printsec=frontcover&dq=romance&hl=&cd=232&source=gbs_api,romance
Radiance,['Grace Draven'],2014,['Man-woman relationships'],5.0,1.0,"Ildiko has always known her only worth to the royal family lay in a strategic marriage. Resigned to her fate, she is horrified to learn that her intended groom isn't just a foreign aristocrat but the younger prince of a people neither familiar nor human. Bound to her new husband, Ildiko will leave behind all she's known to embrace a man shrouded in darkness but with a soul forged by light. Two people brought together by the trappings of duty and politics will discover they are destined for each other, even as the powers of a hostile kingdom scheme to tear them apart.",291.0,en,http://books.google.co.in/books?id=-4EHrgEACAAJ&dq=romance&hl=&cd=233&source=gbs_api,romance
The Darkest Sunrise,['Aly Martinez'],2017-07-07,['Man-woman relationships'],,,"Sticks and stones will break my bones, but words will never harm me. Whoever coined that phrase is a bald-faced liar. Words are often the sharpest weapon of all, triggering some of the most powerful emotions a human can experience. ""You're pregnant."" ""It's a boy."" ""Your son needs a heart transplant."" Sticks and stones will break my bones, but words will never harm me. Lies. Syllables and letters may not be tangible, but they can still destroy your entire life faster than a bullet from a gun. Two words-that was all it took to extinguish the sun from my sky. ""He's gone."" For ten years, the darkness consumed me. In the end, it was four deep, gravelly words that gave me hope of another sunrise. ""Hi. I'm Porter Reese.""",264.0,en,http://books.google.co.in/books?id=nMFMtAEACAAJ&dq=romance&hl=&cd=234&source=gbs_api,romance
32 Candles,['Ernessa T. Carter'],2011-06-28,['Fiction'],,,"Davie Jones—an ugly duckling growing up in small-town Mississippi with a mother who couldn't get any meaner—is positive her life couldn't be any worse. Just when she's resigned herself to her fate, she sees a movie that will change her life—Sixteen Candles. But in her case, life doesn't imitate art. Tormented in school and hopelessly in unrequited love with a handsome football player, Davie finds it bittersweet to dream of Molly Ringwald endings. When a cruel school prank goes too far, Davie leaves the life she knows and reinvents herself in the glittery world of Hollywood—as a beautiful and successful lounge singer. Just as she's about to ride off into the L.A. sunset, the past comes back with a vengeance, threatening to crush Davie's dreams—and break her heart again. With wholly original characters and a cinematic storyline, 32 Candles introduces Ernessa T. Carter, a new voice in fiction with smarts, attitude, and sassiness to spare.",354.0,en,http://books.google.co.in/books?id=tVezeVEYxucC&dq=romance&hl=&cd=235&source=gbs_api,romance
Lovely War,['Julie Berry'],2020-02-04,['Young Adult Fiction'],,,"NEW YORK TIMES BESTSELLER • Perfect for fans of Divine Rivals, a critically acclaimed, multi-layered romance set in the perilous days of World Wars I and II, where gods hold the fates--and the hearts--of four mortals in their hands. ""Pick an adjective—sweeping, sprawling, epic, Olympian—and yet none quite conveys the emotional width and depth of Julie Berry’s brilliant novel.""—The Washington Post They are Hazel, James, Aubrey, and Colette. A classical pianist from London, a British would-be architect-turned-soldier, a Harlem-born ragtime genius in the U.S. Army, and a Belgian orphan with a gorgeous voice and a devastating past. Their story, as told by goddess Aphrodite, who must spin the tale or face judgment on Mount Olympus, is filled with hope and heartbreak, prejudice and passion, and reveals that, though War is a formidable force, it's no match for the transcendent power of Love. Hailed by critics, Lovely War has received seven starred reviews and is an indie bestseller. Author Julie Berry has been called ""a modern master of historical fiction"" by Bookpage and ""a celestially inspired storyteller"" by the New York Times, and Lovely War is truly her masterwork.",481.0,en,http://books.google.co.in/books?id=azHJDwAAQBAJ&dq=romance&hl=&cd=236&source=gbs_api,romance
Knowledge and Illustrated Scientific News,,1909,['Science'],,,,578.0,en,http://books.google.co.in/books?id=T31IAQAAMAAJ&pg=PA440-IA3&dq=romance&hl=&cd=237&source=gbs_api,romance
Loving Ashe,['Liz Durano'],2015-10-18,,,,"A booty call. A stuck elevator. A chance to move on. When Riley Eames agrees to meet her ex-boyfriend in his hotel room ""just to talk,"" she knows it could only mean one thing - a booty call. But three years after he left her to pursue his Hollywood dream, she's determined to get answers to the questions only he can answer - until she finds herself trapped in the elevator with charming British actor, Ashe Hunter, who's in town to promote his latest movie. But a celebrity romance may not be enough to get Riley's life moving again, not when the answers long kept hidden from her are finally revealed, and letting go just might be the last thing she can ever do. ""She brings to this adorable, yet serious, yet light-hearted romance a deep humanity that defines the novel..."" - Mary L. Tabor, Author of The Woman Who Never Cooked",,en,http://books.google.co.in/books?id=DDVcvgAACAAJ&dq=romance&hl=&cd=238&source=gbs_api,romance
Fifty Shades of Grey,['E. L. James'],2012,['Businessmen'],,,"For use in schools and libraries only. When Anastasia Steele, a young literature student, interviews wealthy young entrepreneur Christian Grey for her campus magazine, their initial meeting introduces Anastasia to an exciting new world that will change them both forever.",0.0,en,http://books.google.co.in/books?id=rQ0NLgEACAAJ&dq=romance&hl=&cd=239&source=gbs_api,romance
The Reason is You,['Nikita Singh'],2019-02-14,['Fiction'],,,"Siddhant meets Akriti during their medical residency in Delhi. Their connection is instant, blossoming from the many similarities between them. So, when Akriti faces a devastating loss, she leans on Siddhant for support. In the heat of an emotional moment, the two decide that this must be love. But as Akriti's depression begins to take a stronger hold over her, she spirals out of control, sinking deeper into an abyss of fear, insecurity and rage. And while Siddhant struggles to help her, it seems like everything he does is only making things worse.Meanwhile, Siddhant's life gets further complicated when Maahi, his ex-girlfriend whom he never stopped loving, re-enters his life.Nikita Singh returns with a stirring story - exploring emotional health, the boundaries of traditional relationships and second chances.",232.0,en,http://books.google.co.in/books?id=9UeFDwAAQBAJ&printsec=frontcover&dq=romance&hl=&cd=261&source=gbs_api,romance
"Introduction to the Literature of Europe in the Fifteenth, Sixteenth, and Seventeenth Centuries",['Henry Hallam'],1880,['Europe'],,,,928.0,en,http://books.google.co.in/books?id=TzsPAQAAMAAJ&pg=PA148&dq=romance&hl=&cd=265&source=gbs_api,romance
The Palatine Note-book,,,['Cheshire (England)'],,,,300.0,en,http://books.google.co.in/books?id=v_AHAAAAQAAJ&pg=PA156&dq=romance&hl=&cd=266&source=gbs_api,romance
"The Scorsolini Marriage Bargain (Royal Brides, Book 4) (Mills & Boon Modern)",['Lucy Monroe'],2011-09-01,['Fiction'],,,"Claudio refuses to fall under the Scorsolini Curse. He hates what it did to his father and his own life as a child. He marries Therese for many good, practical reasons... none of which are love.",246.0,en,http://books.google.co.in/books?id=lo6FRZ_RojoC&printsec=frontcover&dq=romance&hl=&cd=267&source=gbs_api,romance
The One,['Kiera Cass'],2014-05-06,['Young Adult Fiction'],4.0,11.0,"The captivating third book in Kiera Cass’s #1 New York Times bestselling Selection series America Singer searches for her happily ever after in this swoon-worthy YA dystopian romance, perfect for readers who loved Veronica Roth’s Divergent, Lauren Oliver’s Delirium, or Renée Ahdieh’s The Wrath & the Dawn. Entering the Selection changed America Singer's life in ways she never could have imagined. Since she arrived at the palace, America has struggled with her feelings for her first love, Aspen—and her growing attraction to Prince Maxon. Now she's made her choice . . . and she's prepared to fight for the future she wants. Don’t miss The Betrothed, a glittering royal romance sure to captivate Kiera Cass’s legion of loyal readers and lovers of courtly intrigue alike!",199.0,en,http://books.google.co.in/books?id=wckaAQAAQBAJ&printsec=frontcover&dq=romance&hl=&cd=268&source=gbs_api,romance
The Prince And The Nightingale,['Abhishek Bhatt'],2021-05-01,['Fiction'],,,"On the eve of India's Independence, Maharaja Uday Singh, the King of Ranakpour, urges his children to find their place in the new India as their 800-year rule on the princely state comes to an end. Stripped of his royal status, Uday Singh's middle son, Abhimanyu, lands in Bombay to follow his passion - cricket. While the young prince tries to adapt to life in the metropolis as a commoner, he meets Meera Apte, a struggling, working class singer with an angelic voice, and they bond over their common interest: Indian classical music. Soon, Abhimanyu finds himself torn between familial duties and his growing passion for Meera. Finally, the lovers make a choice that will change their destinies forever.",192.0,en,http://books.google.co.in/books?id=JW8kEAAAQBAJ&printsec=frontcover&dq=romance&hl=&cd=269&source=gbs_api,romance
The Encyclopaedia Britannica,"['Day Otis Kellogg', 'Thomas Spencer Baynes', 'William Robertson Smith']",1902,['Encyclopedias and dictionaries'],,,,902.0,en,http://books.google.co.in/books?id=oo5GAQAAIAAJ&pg=PA487&dq=romance&hl=&cd=270&source=gbs_api,romance
Exclusive,['Melissa Brayden'],2022-03-15,['Fiction'],,,"Skylar Ruiz lands the TV reporting job of a lifetime, but is she willing to sacrifice it all for the love of her longtime crush, anchorwoman Carolyn McNamara?",,en,http://books.google.co.in/books?id=wrSMzgEACAAJ&dq=romance&hl=&cd=271&source=gbs_api,romance
"The Elite (The Selection, Book 2)",['Kiera Cass'],2013-04-23,['Young Adult Fiction'],4.5,11.0,"The Selection gets fierce as rivals stake their claim on the Prince. Six girls, one life-changing prize...",211.0,en,http://books.google.co.in/books?id=CDIMQGC0h-gC&pg=PP1&dq=romance&hl=&cd=272&source=gbs_api,romance
People We Meet on Vacation,['Emily Henry'],2025-10-07,['Fiction'],,,"Emily Henry’s dazzling New York Times bestselling novel now in this special hardcover collector’s edition with: • A gleaming redesigned cover • Stunning illustrated endpapers and matching sprayed edges that will take you poolside in sunny Palm Springs • A copper foil–stamped case, and… • A new letter from the author and exclusive postcard art Two best friends. Ten summer trips. One last chance to fall in love. Poppy and Alex. Alex and Poppy. They have nothing in common. She’s a wild child; he wears khakis. She has insatiable wanderlust; he prefers to stay home with a book. And somehow, ever since a fateful car share home from college many years ago, they are the very best of friends. For most of the year they live far apart—she’s in New York City, and he’s in their small hometown—but every summer, for a decade, they have taken one glorious week of vacation together. Until two years ago, when they ruined everything. They haven't spoken since. Poppy has everything she should want, but she’s stuck in a rut. When someone asks when she was last truly happy, she knows, without a doubt, it was on that ill-fated, final trip with Alex. And so, she decides to convince her best friend to take one more vacation together—lay everything on the table, make it all right. Miraculously, he agrees. Now she has a week to fix everything. If only she can get around the one big truth that has always stood quietly in the middle of their seemingly perfect relationship. What could possibly go wrong?",0.0,en,http://books.google.co.in/books?id=antCEQAAQBAJ&dq=romance&hl=&cd=273&source=gbs_api,romance
The Romances of Alexandre Dumas: Comtesse de Charny,['Alexandre Dumas'],1894,['France'],,,,350.0,en,http://books.google.co.in/books?id=64c_AQAAMAAJ&pg=PA545&dq=romance&hl=&cd=274&source=gbs_api,romance
Best I Ever Had,['S. L. Scott'],2025-01-15,['Fiction'],,,,0.0,en,http://books.google.co.in/books?id=ZYoQ0QEACAAJ&dq=romance&hl=&cd=275&source=gbs_api,romance
A Deal with the Elf King,['Elise Kova'],2020-11-06,,,,"Perfect for fans of A Court of Thorns and Roses and Uprooted, this stand-alone, fantasy romance about a human girl and her marriage to the Elf King is impossible to put down! The elves come for two things: war and wives. In both cases, they come for death. Three-thousand years ago, humans were hunted by powerful races with wild magic until the treaty was formed. Now, for centuries, the elves have taken a young woman from Luella's village to be their Human Queen. To be chosen is seen as a mark of death by the townsfolk. A mark nineteen-year-old Luella is grateful to have escaped as a girl. Instead, she's dedicated her life to studying herbology and becoming the town's only healer. That is, until the Elf King unexpectedly arrives... for her. Everything Luella had thought she'd known about her life, and herself, was a lie. Taken to a land filled with wild magic, Luella is forced to be the new queen to a cold yet blisteringly handsome Elf King. Once there, she learns about a dying world that only she can save. The magical land of Midscape pulls on one corner of her heart, her home and people tug on another... but what will truly break her is a passion she never wanted. A Deal with the Elf King is a complete, stand-alone novel, inspired by the tales of Hades and Persephone, as well as Beauty and the Beast, with a ""happily ever after"" ending. It's perfect for fantasy romance fans looking for just the right amount of steam and their next slow-burn and swoon-worthy couple.",338.0,en,http://books.google.co.in/books?id=AYDbzQEACAAJ&dq=romance&hl=&cd=276&source=gbs_api,romance
A Tortured Heart,['Emma Dorothy Eliza Nevitte Southworth'],1880,,,,,374.0,en,http://books.google.co.in/books?id=xYVIAQAAMAAJ&pg=PT3&dq=romance&hl=&cd=277&source=gbs_api,romance
The Dublin University Magazine,,1834,,,,,734.0,en,http://books.google.co.in/books?id=q8ARAAAAYAAJ&pg=PA486&dq=romance&hl=&cd=278&source=gbs_api,romance
Love Story # 1 To 14,['Annie Zaidi'],2012-10-23,['Fiction'],,,"'Curious villagers stopped to stare at this shameless man and woman whose fingers were wound in each others' hair, and whose lips were stretched with impossible smiles, and faces were glowing like warm red wax in the late afternoon. But after a minute or two, they too walked away, because looking at the two any longer became unbearable.' A woman who won't let the shadow of death disrupt her love life, another who falls irrevocably in love with a dead police officer, a devoted wife who steps out twice a week for Narcotics Anonymous meetings, friends who should have been lovers, the woman who offers all her pent-up love to a railway announcer's voice ... Annie Zaidi's stories are at once warm and distant, violent and gentle - and, above all, untroubled by cynicism. This is a look at love, straight in the eye, to understand the alluring nature of the beast.",213.0,en,http://books.google.co.in/books?id=GbjjAAAAQBAJ&printsec=frontcover&dq=romance&hl=&cd=279&source=gbs_api,romance
The English Catalogue of Books ...,['Sampson Low'],1901,['English literature'],,,,278.0,en,http://books.google.co.in/books?id=1aFJAAAAYAAJ&pg=PA174&dq=romance&hl=&cd=280&source=gbs_api,romance
A Wish Upon a Dress,['Debbie Macomber'],2022-02-22,['Fiction'],,,"A very special wedding gown leads two women to find the love they always wished for The dress was made many years ago, and it came with a promise: the first man you meet is the man you'll marry. Shelly Hansen is horrified when her great-aunt's wedding dress arrives. Because according to family legend, she's destined to marry the next man she meets. So when she trips on an escalator and falls into Mark Brady's arms, she tells him--and herself--that she isn't interested in marriage. But then she starts seeing him everywhere. Is it coincidence...or destiny? After her own wedding, Shelly sends her best friend, Jill Morrison, the dress--which is delivered to Jill's hotel in Hawaii. But at least the man Jill sat beside on the plane--gorgeous grouch Jordan Wilcox--can't be the man in question, can he? She met him before she got the dress. But the gown always ends up in a wedding! ""Her novels are always engaging stories that accurately capture the foibles of real-life men and women with warmth and humor."" --Milwaukee Journal Sentinel",336.0,en,http://books.google.co.in/books?id=V-BpzgEACAAJ&dq=romance&hl=&cd=285&source=gbs_api,romance
Our Song,['Milan Vohra'],2019-09-25,['Fiction'],,,"'People will leave. Even the good ones do. The music will stay.' This is what life has taught Ragini.A struggling music composer who left the world of Hindustani classical music in Delhi to do her own kind of music in Bangalore, Ragini is impulsive, emotional and often a little lost. The typical creative type - or so Andrew thinks.The head honcho at a mega Pharma company, Andrew is half-British, half-Indian and a full-on 'propah' pain. Even if he's gorgeous. The typical corporate type - or so Ragini thinks.He needs her to compose a song for the company's silver jubilee. She needs him (well, just his project really) to be able to keep doing her music. They can definitely do without the sparks they set off in each other. Or the highs and lows and all the conflicting notes that being together seems to bring. Because love is off the table for him. And music is her only love.Can two stubborn people from such different worlds ever find harmony together?",182.0,en,http://books.google.co.in/books?id=AWioDwAAQBAJ&printsec=frontcover&dq=romance&hl=&cd=286&source=gbs_api,romance
The Courage Tree,['Diane Chamberlain'],2013-11-01,['Fiction'],,,"Can a mother ever give up hope? Janine wants her child to live a normal life full of adventure, so she lets her precious daughter go on her first overnight camping trip.",400.0,en,http://books.google.co.in/books?id=sdxAAAAAQBAJ&printsec=frontcover&dq=romance&hl=&cd=287&source=gbs_api,romance
The new Popular educator,,1899,,,,,836.0,en,http://books.google.co.in/books?id=swlHJoxPMngC&pg=PA361&dq=romance&hl=&cd=288&source=gbs_api,romance
The Fireside Book of Romance,['Edward Wagenknecht'],1948,['Romance fiction'],,,,600.0,en,http://books.google.co.in/books?id=j0lAAAAAIAAJ&q=romance&dq=romance&hl=&cd=289&source=gbs_api,romance
Rites of Spring,"['Bree Saunders', 'Sandra Kitt']",1984,['Fiction'],,,"Rites Of Spring by Bree Saunders released on Dec 25, 1983 is available now for purchase.",260.0,en,http://books.google.co.in/books?id=jQpEMvvUy_UC&q=romance&dq=romance&hl=&cd=290&source=gbs_api,romance
Bohemian,['Kathryn Nolan'],2017-09-24,,,,"Two souls, drawn together beneath a fierce sky... Calvin Ellis's neat and orderly life is shattered when his grandfather dies, leaving him ownership of a quirky bookstore in Big Sur, California. The Mad Ones: once a place famous for poetry readings and bohemian rebellion, it now teeters on the brink of financial ruin.Lucia Bell's glamorous life as a super model is put into stark perspective when she shows up for a photo shoot, at a bookstore, in the middle of nowhere. She finds herself oddly intrigued by the quiet, nerdy owner with the huge glasses reading behind the register.One night they share a passionate and frenzied kiss against a bookshelf. Outside the store, lightning strikes. Trees topple. And the world shakes beneath their feet.As the storm tears its way through Big Sur, Calvin and Lucia share and explore their most secret desires. Hopes and dreams they once thought lost are recaptured. But inevitably, as reality roars back, they find themselves stuck at a crossroads.Two conflicting paths. And each must make their own decision.Which life will they choose? And will it include the other? Authors Note: Opposites attract. Shy nerd (with a dirty mouth). Gorgeous supermodel. Secret love notes. Poetry. Hidden desires. Quirky small towns and funky book stores. Hot springs. Wild storms. True love.",,en,http://books.google.co.in/books?id=-fsMygEACAAJ&dq=romance&hl=&cd=291&source=gbs_api,romance
The Fortnightly Review,,1887,,,,,900.0,en,http://books.google.co.in/books?id=En58cZ4nf98C&pg=PA417&dq=romance&hl=&cd=292&source=gbs_api,romance
Proceedings of the Royal Philosophical Society of Glasgow,['Royal Philosophical Society of Glasgow'],1902,['Science'],,,,412.0,en,http://books.google.co.in/books?id=OqTOAAAAMAAJ&pg=PA248&dq=romance&hl=&cd=293&source=gbs_api,romance
A Manual of English Literature and of the History of the English Language from the Norman Conquest,['George Lillie Craik'],1874,,,,,360.0,en,http://books.google.co.in/books?id=UFBhAAAAcAAJ&pg=PA142&dq=romance&hl=&cd=294&source=gbs_api,romance
